stationName,Month,Monthly_Total_Evap
gazipur crossing pz,2023-03-31,-1.0382277965545654
gazipur crossing pz,2023-04-30,-1.1376667022705078
gazipur crossing pz,2023-05-31,-1.469673991203308
gazipur crossing pz,2023-06-30,-1.0429006814956665
gazipur crossing pz,2023-07-31,-1.736478567123413
gazipur crossing pz,2023-08-31,-2.288940906524658
gazipur crossing pz,2023-09-30,-1.95954430103302
gazipur crossing pz,2023-10-31,-1.4019811153411865
gazipur crossing pz,2023-11-30,-0.49709177017211914
gazipur crossing pz,2023-12-31,-0.3035348653793335
gazipur crossing pz,2024-01-31,-0.21138368546962738
gazipur crossing pz,2024-02-29,-0.6331356763839722
gazipur crossing pz,2024-03-31,-0.9217956066131592
gazipur crossing pz,2024-04-30,-0.3827170729637146
gazipur crossing pz,2024-05-31,-0.34123894572257996
gazipur crossing pz,2024-06-30,-0.618363082408905
gazipur crossing pz,2024-07-31,-1.843648910522461
gazipur crossing pz,2024-08-31,-1.7129812240600586
gazipur crossing pz,2024-09-30,-1.668421983718872
gazipur crossing pz,2024-10-31,-1.7182639837265015
gazipur crossing pz,2024-11-30,-0.7338245511054993
gazipur crossing pz,2024-12-31,-0.4636710286140442
gazipur crossing pz,2025-01-31,-0.7139170169830322
gazipur crossing pz,2025-02-28,-0.7683062553405762
gazipur crossing pz,2025-03-31,-1.0281250476837158
gazipur crossing pz,2025-04-30,-0.6505601406097412
gazipur crossing pz,2025-05-31,-0.914086103439331
gazipur crossing pz,2025-06-30,-1.2043049335479736
gazipur crossing pz,2025-07-31,-1.6920146942138672
gazipur crossing pz,2025-08-31,-1.6854088306427002
Delhi East PREET VIHAR Bank Enclave Pz,2022-12-31,-0.5415074825286865
Delhi East PREET VIHAR Bank Enclave Pz,2023-01-31,-0.5288054347038269
Delhi East PREET VIHAR Bank Enclave Pz,2023-02-28,-0.7771056890487671
Delhi East PREET VIHAR Bank Enclave Pz,2023-03-31,-1.0382277965545654
Delhi East PREET VIHAR Bank Enclave Pz,2023-04-30,-1.1376667022705078
Delhi East PREET VIHAR Bank Enclave Pz,2023-05-31,-1.469673991203308
Delhi East PREET VIHAR Bank Enclave Pz,2023-06-30,-1.0429006814956665
Delhi East PREET VIHAR Bank Enclave Pz,2023-07-31,-1.736478567123413
Delhi East PREET VIHAR Bank Enclave Pz,2023-08-31,-2.288940906524658
Delhi East PREET VIHAR Bank Enclave Pz,2023-09-30,-1.95954430103302
Delhi East PREET VIHAR Bank Enclave Pz,2023-10-31,-1.4019811153411865
Delhi East PREET VIHAR Bank Enclave Pz,2023-11-30,-0.49709177017211914
Delhi East PREET VIHAR Bank Enclave Pz,2023-12-31,-0.3035348653793335
Delhi East PREET VIHAR Bank Enclave Pz,2024-01-31,-0.21138368546962738
Delhi East PREET VIHAR Bank Enclave Pz,2024-02-29,-0.6331356763839722
Delhi East PREET VIHAR Bank Enclave Pz,2024-03-31,-0.9217956066131592
Delhi East PREET VIHAR Bank Enclave Pz,2024-04-30,-0.3827170729637146
Delhi East PREET VIHAR Bank Enclave Pz,2024-05-31,-0.34123894572257996
Delhi East PREET VIHAR Bank Enclave Pz,2024-06-30,-0.618363082408905
Delhi East PREET VIHAR Bank Enclave Pz,2024-07-31,-1.843648910522461
Delhi East PREET VIHAR Bank Enclave Pz,2024-08-31,-1.7129812240600586
Delhi East PREET VIHAR Bank Enclave Pz,2024-09-30,-1.668421983718872
Delhi East PREET VIHAR Bank Enclave Pz,2024-10-31,-1.7182639837265015
Delhi East PREET VIHAR Bank Enclave Pz,2024-11-30,-0.7338245511054993
Delhi East PREET VIHAR Bank Enclave Pz,2024-12-31,-0.4636710286140442
Delhi East PREET VIHAR Bank Enclave Pz,2025-01-31,-0.7139170169830322
Delhi East PREET VIHAR Bank Enclave Pz,2025-02-28,-0.7683062553405762
Delhi East PREET VIHAR Bank Enclave Pz,2025-03-31,-1.0281250476837158
Delhi East PREET VIHAR Bank Enclave Pz,2025-04-30,-0.6505601406097412
Delhi East PREET VIHAR Bank Enclave Pz,2025-05-31,-0.914086103439331
Delhi East PREET VIHAR Bank Enclave Pz,2025-06-30,-1.2043049335479736
Delhi East PREET VIHAR Bank Enclave Pz,2025-07-31,-1.6920146942138672
Delhi East PREET VIHAR Bank Enclave Pz,2025-08-31,-1.6854088306427002
Delhi East PREET VIHAR Gujarat Vihar Pz,2022-12-31,-0.5415074825286865
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-01-31,-0.5288054347038269
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-02-28,-0.7771056890487671
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-03-31,-1.0382277965545654
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-04-30,-1.1376667022705078
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-05-31,-1.469673991203308
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-06-30,-1.0429006814956665
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-07-31,-1.736478567123413
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-08-31,-2.288940906524658
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-09-30,-1.95954430103302
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-10-31,-1.4019811153411865
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-11-30,-0.49709177017211914
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-12-31,-0.3035348653793335
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-01-31,-0.21138368546962738
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-02-29,-0.6331356763839722
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-03-31,-0.9217956066131592
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-04-30,-0.3827170729637146
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-05-31,-0.34123894572257996
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-06-30,-0.618363082408905
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-07-31,-1.843648910522461
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-08-31,-1.7129812240600586
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-09-30,-1.668421983718872
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-10-31,-1.7182639837265015
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-11-30,-0.7338245511054993
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-12-31,-0.4636710286140442
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-01-31,-0.7139170169830322
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-02-28,-0.7683062553405762
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-03-31,-1.0281250476837158
