stationName,Month,Monthly_Mean_Pressure
Delhi East PREET VIHAR Bank Enclave Pz,2025-04-30,98120.1796875
Delhi East PREET VIHAR Bank Enclave Pz,2025-05-31,97733.375
Delhi East PREET VIHAR Bank Enclave Pz,2025-06-30,97461.921875
Delhi East PREET VIHAR Bank Enclave Pz,2025-07-31,97392.6875
Delhi East PREET VIHAR Bank Enclave Pz,2025-08-31,97723.5703125
Delhi East PREET VIHAR Gujarat Vihar Pz,2022-12-31,98995.9765625
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-01-31,99202.734375
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-02-28,98861.9140625
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-03-31,98723.6796875
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-04-30,98352.578125
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-05-31,98070.734375
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-06-30,97609.375
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-07-31,97590.4921875
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-08-31,97637.4921875
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-09-30,97933.609375
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-10-31,98622.9765625
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-11-30,99030.5546875
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-12-31,99182.6875
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-01-31,99223.25
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-02-29,99109.421875
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-03-31,98737.6328125
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-04-30,98225.625
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-05-31,97744.1484375
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-06-30,97440.03125
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-07-31,97285.4765625
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-08-31,97726.625
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-09-30,97895.2421875
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-10-31,98445.5703125
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-11-30,98895.7109375
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-12-31,99070.9921875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-01-31,99053.40625
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-02-28,98931.5078125
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-03-31,98588.0546875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-04-30,98120.1796875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-05-31,97733.375
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-06-30,97461.921875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-07-31,97392.6875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-08-31,97723.5703125
Delhi East Mayur vihar Kondli DJB WTP,2022-12-31,98995.9765625
Delhi East Mayur vihar Kondli DJB WTP,2023-01-31,99202.734375
Delhi East Mayur vihar Kondli DJB WTP,2023-02-28,98861.9140625
Delhi East Mayur vihar Kondli DJB WTP,2023-03-31,98723.6796875
Delhi East Mayur vihar Kondli DJB WTP,2023-04-30,98352.578125
Delhi East Mayur vihar Kondli DJB WTP,2023-05-31,98070.734375
Delhi East Mayur vihar Kondli DJB WTP,2023-06-30,97609.375
Delhi East Mayur vihar Kondli DJB WTP,2023-07-31,97590.4921875
Delhi East Mayur vihar Kondli DJB WTP,2023-08-31,97637.4921875
Delhi East Mayur vihar Kondli DJB WTP,2023-09-30,97933.609375
Delhi East Mayur vihar Kondli DJB WTP,2023-10-31,98622.9765625
Delhi East Mayur vihar Kondli DJB WTP,2023-11-30,99030.5546875
Delhi East Mayur vihar Kondli DJB WTP,2023-12-31,99182.6875
Delhi East Mayur vihar Kondli DJB WTP,2024-01-31,99223.25
Delhi East Mayur vihar Kondli DJB WTP,2024-02-29,99109.421875
Delhi East Mayur vihar Kondli DJB WTP,2024-03-31,98737.6328125
Delhi East Mayur vihar Kondli DJB WTP,2024-04-30,98225.625
Delhi East Mayur vihar Kondli DJB WTP,2024-05-31,97744.1484375
Delhi East Mayur vihar Kondli DJB WTP,2024-06-30,97440.03125
Delhi East Mayur vihar Kondli DJB WTP,2024-07-31,97285.4765625
Delhi East Mayur vihar Kondli DJB WTP,2024-08-31,97726.625
Delhi East Mayur vihar Kondli DJB WTP,2024-09-30,97895.2421875
Delhi East Mayur vihar Kondli DJB WTP,2024-10-31,98445.5703125
Delhi East Mayur vihar Kondli DJB WTP,2024-11-30,98895.7109375
Delhi East Mayur vihar Kondli DJB WTP,2024-12-31,99070.9921875
Delhi East Mayur vihar Kondli DJB WTP,2025-01-31,99053.40625
Delhi East Mayur vihar Kondli DJB WTP,2025-02-28,98931.5078125
Delhi East Mayur vihar Kondli DJB WTP,2025-03-31,98588.0546875
Delhi East Mayur vihar Kondli DJB WTP,2025-04-30,98120.1796875
Delhi East Mayur vihar Kondli DJB WTP,2025-05-31,97733.375
Delhi East Mayur vihar Kondli DJB WTP,2025-06-30,97461.921875
Delhi East Mayur vihar Kondli DJB WTP,2025-07-31,97392.6875
Delhi East Mayur vihar Kondli DJB WTP,2025-08-31,97723.5703125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-12-31,98995.9765625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-01-31,99202.734375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-02-28,98861.9140625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-03-31,98723.6796875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-04-30,98352.578125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-05-31,98070.734375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-06-30,97609.375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-07-31,97590.4921875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-08-31,97637.4921875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-09-30,97933.609375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-10-31,98622.9765625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-11-30,99030.5546875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-12-31,99182.6875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-01-31,99223.25
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-02-29,99109.421875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-03-31,98737.6328125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-04-30,98225.625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-05-31,97744.1484375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-06-30,97440.03125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-07-31,97285.4765625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-08-31,97726.625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-09-30,97895.2421875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-10-31,98445.5703125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-11-30,98895.7109375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-12-31,99070.9921875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-01-31,99053.40625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-02-28,98931.5078125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-03-31,98588.0546875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-04-30,98120.1796875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-05-31,97733.375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-06-30,97461.921875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-07-31,97392.6875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-08-31,97723.5703125
Delhi North ALIPUR Singhu Village Pz,2022-12-31,99096.828125
Delhi North ALIPUR Singhu Village Pz,2023-01-31,99307.265625
Delhi North ALIPUR Singhu Village Pz,2023-02-28,98960.4453125
Delhi North ALIPUR Singhu Village Pz,2023-03-31,98823.1796875
Delhi North ALIPUR Singhu Village Pz,2023-04-30,98450.3984375
Delhi North ALIPUR Singhu Village Pz,2023-05-31,98164.8203125
Delhi North ALIPUR Singhu Village Pz,2023-06-30,97699.703125
Delhi North ALIPUR Singhu Village Pz,2023-07-31,97681.0546875
Delhi North ALIPUR Singhu Village Pz,2023-08-31,97717.046875
Delhi North ALIPUR Singhu Village Pz,2023-09-30,98027.046875
Delhi North ALIPUR Singhu Village Pz,2023-10-31,98718.28125
Delhi North ALIPUR Singhu Village Pz,2023-11-30,99130.21875
Delhi North ALIPUR Singhu Village Pz,2023-12-31,99285.0234375
Delhi North ALIPUR Singhu Village Pz,2024-01-31,99326.796875
Delhi North ALIPUR Singhu Village Pz,2024-02-29,99210.1640625
Delhi North ALIPUR Singhu Village Pz,2024-03-31,98837.03125
Delhi North ALIPUR Singhu Village Pz,2024-04-30,98324.359375
Delhi North ALIPUR Singhu Village Pz,2024-05-31,97837.484375
Delhi North ALIPUR Singhu Village Pz,2024-06-30,97527.390625
Delhi North ALIPUR Singhu Village Pz,2024-07-31,97373.8828125
Delhi North ALIPUR Singhu Village Pz,2024-08-31,97818.8828125
Delhi North ALIPUR Singhu Village Pz,2024-09-30,97990.109375
Delhi North ALIPUR Singhu Village Pz,2024-10-31,98538.21875
Delhi North ALIPUR Singhu Village Pz,2024-11-30,98991.8125
Delhi North ALIPUR Singhu Village Pz,2024-12-31,99173.515625
Delhi North ALIPUR Singhu Village Pz,2025-01-31,99154.1796875
Delhi North ALIPUR Singhu Village Pz,2025-02-28,99034.515625
Delhi North ALIPUR Singhu Village Pz,2025-03-31,98689.34375
Delhi North ALIPUR Singhu Village Pz,2025-04-30,98214.46875
Delhi North ALIPUR Singhu Village Pz,2025-05-31,97826.609375
Delhi North ALIPUR Singhu Village Pz,2025-06-30,97550.4140625
Delhi North ALIPUR Singhu Village Pz,2025-07-31,97483.1640625
Delhi North ALIPUR Singhu Village Pz,2025-08-31,97812.9921875
Delhi North ALIPUR Alipur Garhi Pz,2022-12-31,99079.6328125
Delhi North ALIPUR Alipur Garhi Pz,2023-01-31,99287.8359375
Delhi North ALIPUR Alipur Garhi Pz,2023-02-28,98942.6875
Delhi North ALIPUR Alipur Garhi Pz,2023-03-31,98803.765625
Delhi North ALIPUR Alipur Garhi Pz,2023-04-30,98431.1640625
Delhi North ALIPUR Alipur Garhi Pz,2023-05-31,98145.1640625
Delhi North ALIPUR Alipur Garhi Pz,2023-06-30,97681.65625
Delhi North ALIPUR Alipur Garhi Pz,2023-07-31,97659.421875
Delhi North ALIPUR Alipur Garhi Pz,2023-08-31,97700.578125
Delhi North ALIPUR Alipur Garhi Pz,2023-09-30,98006.109375
Delhi North ALIPUR Alipur Garhi Pz,2023-10-31,98698.7734375
Delhi North ALIPUR Alipur Garhi Pz,2023-11-30,99110.3984375
Delhi North ALIPUR Alipur Garhi Pz,2023-12-31,99265.4609375
Delhi North ALIPUR Alipur Garhi Pz,2024-01-31,99306.390625
Delhi North ALIPUR Alipur Garhi Pz,2024-02-29,99190.90625
Delhi North ALIPUR Alipur Garhi Pz,2024-03-31,98817.8671875
Delhi North ALIPUR Alipur Garhi Pz,2024-04-30,98305.375
