stationName,Month,Monthly_Mean_Dewpoint
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-11-30,287.9278259277344
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-12-31,281.08514404296875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-01-31,282.55682373046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-02-28,282.8874206542969
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-03-31,282.6979064941406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-04-30,283.5292053222656
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-05-31,292.1114501953125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-06-30,295.9561767578125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-07-31,298.478515625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-08-31,298.18365478515625
gazipur crossing pz,2022-12-31,281.67755126953125
gazipur crossing pz,2023-01-31,281.25213623046875
gazipur crossing pz,2023-02-28,282.97259521484375
gazipur crossing pz,2023-03-31,286.8171081542969
gazipur crossing pz,2023-04-30,283.5895080566406
gazipur crossing pz,2023-05-31,288.1329345703125
gazipur crossing pz,2023-06-30,293.8041687011719
gazipur crossing pz,2023-07-31,298.79290771484375
gazipur crossing pz,2023-08-31,297.1780700683594
gazipur crossing pz,2023-09-30,296.4861145019531
gazipur crossing pz,2023-10-31,288.826416015625
gazipur crossing pz,2023-11-30,286.93731689453125
gazipur crossing pz,2023-12-31,283.1111755371094
gazipur crossing pz,2024-01-31,281.3659362792969
gazipur crossing pz,2024-02-29,281.5501403808594
gazipur crossing pz,2024-03-31,283.95855712890625
gazipur crossing pz,2024-04-30,281.26947021484375
gazipur crossing pz,2024-05-31,284.9658508300781
gazipur crossing pz,2024-06-30,290.5028381347656
gazipur crossing pz,2024-07-31,299.4122009277344
gazipur crossing pz,2024-08-31,298.4031066894531
gazipur crossing pz,2024-09-30,297.351806640625
gazipur crossing pz,2024-10-31,292.4259033203125
gazipur crossing pz,2024-11-30,287.9278259277344
gazipur crossing pz,2024-12-31,281.08514404296875
gazipur crossing pz,2025-01-31,282.55682373046875
gazipur crossing pz,2025-02-28,282.8874206542969
gazipur crossing pz,2025-03-31,282.6979064941406
gazipur crossing pz,2025-04-30,283.5292053222656
gazipur crossing pz,2025-05-31,292.1114501953125
gazipur crossing pz,2025-06-30,295.9561767578125
gazipur crossing pz,2025-07-31,298.478515625
gazipur crossing pz,2025-08-31,298.18365478515625
Delhi East PREET VIHAR Bank Enclave Pz,2022-12-31,281.67755126953125
Delhi East PREET VIHAR Bank Enclave Pz,2023-01-31,281.25213623046875
Delhi East PREET VIHAR Bank Enclave Pz,2023-02-28,282.97259521484375
Delhi East PREET VIHAR Bank Enclave Pz,2023-03-31,286.8171081542969
Delhi East PREET VIHAR Bank Enclave Pz,2023-04-30,283.5895080566406
Delhi East PREET VIHAR Bank Enclave Pz,2023-05-31,288.1329345703125
Delhi East PREET VIHAR Bank Enclave Pz,2023-06-30,293.8041687011719
Delhi East PREET VIHAR Bank Enclave Pz,2023-07-31,298.79290771484375
Delhi East PREET VIHAR Bank Enclave Pz,2023-08-31,297.1780700683594
Delhi East PREET VIHAR Bank Enclave Pz,2023-09-30,296.4861145019531
Delhi East PREET VIHAR Bank Enclave Pz,2023-10-31,288.826416015625
Delhi East PREET VIHAR Bank Enclave Pz,2023-11-30,286.93731689453125
Delhi East PREET VIHAR Bank Enclave Pz,2023-12-31,283.1111755371094
Delhi East PREET VIHAR Bank Enclave Pz,2024-01-31,281.3659362792969
Delhi East PREET VIHAR Bank Enclave Pz,2024-02-29,281.5501403808594
Delhi East PREET VIHAR Bank Enclave Pz,2024-03-31,283.95855712890625
Delhi East PREET VIHAR Bank Enclave Pz,2024-04-30,281.26947021484375
Delhi East PREET VIHAR Bank Enclave Pz,2024-05-31,284.9658508300781
Delhi East PREET VIHAR Bank Enclave Pz,2024-06-30,290.5028381347656
Delhi East PREET VIHAR Bank Enclave Pz,2024-07-31,299.4122009277344
Delhi East PREET VIHAR Bank Enclave Pz,2024-08-31,298.4031066894531
Delhi East PREET VIHAR Bank Enclave Pz,2024-09-30,297.351806640625
Delhi East PREET VIHAR Bank Enclave Pz,2024-10-31,292.4259033203125
Delhi East PREET VIHAR Bank Enclave Pz,2024-11-30,287.9278259277344
Delhi East PREET VIHAR Bank Enclave Pz,2024-12-31,281.08514404296875
Delhi East PREET VIHAR Bank Enclave Pz,2025-01-31,282.55682373046875
Delhi East PREET VIHAR Bank Enclave Pz,2025-02-28,282.8874206542969
Delhi East PREET VIHAR Bank Enclave Pz,2025-03-31,282.6979064941406
Delhi East PREET VIHAR Bank Enclave Pz,2025-04-30,283.5292053222656
Delhi East PREET VIHAR Bank Enclave Pz,2025-05-31,292.1114501953125
Delhi East PREET VIHAR Bank Enclave Pz,2025-06-30,295.9561767578125
Delhi East PREET VIHAR Bank Enclave Pz,2025-07-31,298.478515625
Delhi East PREET VIHAR Bank Enclave Pz,2025-08-31,298.18365478515625
Delhi East PREET VIHAR Gujarat Vihar Pz,2022-12-31,281.67755126953125
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-01-31,281.25213623046875
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-02-28,282.97259521484375
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-03-31,286.8171081542969
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-04-30,283.5895080566406
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-05-31,288.1329345703125
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-06-30,293.8041687011719
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-07-31,298.79290771484375
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-08-31,297.1780700683594
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-09-30,296.4861145019531
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-10-31,288.826416015625
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-11-30,286.93731689453125
Delhi East PREET VIHAR Gujarat Vihar Pz,2023-12-31,283.1111755371094
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-01-31,281.3659362792969
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-02-29,281.5501403808594
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-03-31,283.95855712890625
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-04-30,281.26947021484375
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-05-31,284.9658508300781
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-06-30,290.5028381347656
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-07-31,299.4122009277344
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-08-31,298.4031066894531
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-09-30,297.351806640625
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-10-31,292.4259033203125
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-11-30,287.9278259277344
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-12-31,281.08514404296875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-01-31,282.55682373046875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-02-28,282.8874206542969
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-03-31,282.6979064941406
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-04-30,283.5292053222656
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-05-31,292.1114501953125
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-06-30,295.9561767578125
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-07-31,298.478515625
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-08-31,298.18365478515625
Delhi East Mayur vihar Kondli DJB WTP,2022-12-31,281.67755126953125
Delhi East Mayur vihar Kondli DJB WTP,2023-01-31,281.25213623046875
Delhi East Mayur vihar Kondli DJB WTP,2023-02-28,282.97259521484375
Delhi East Mayur vihar Kondli DJB WTP,2023-03-31,286.8171081542969
Delhi East Mayur vihar Kondli DJB WTP,2023-04-30,283.5895080566406
Delhi East Mayur vihar Kondli DJB WTP,2023-05-31,288.1329345703125
Delhi East Mayur vihar Kondli DJB WTP,2023-06-30,293.8041687011719
Delhi East Mayur vihar Kondli DJB WTP,2023-07-31,298.79290771484375
Delhi East Mayur vihar Kondli DJB WTP,2023-08-31,297.1780700683594
Delhi East Mayur vihar Kondli DJB WTP,2023-09-30,296.4861145019531
Delhi East Mayur vihar Kondli DJB WTP,2023-10-31,288.826416015625
Delhi East Mayur vihar Kondli DJB WTP,2023-11-30,286.93731689453125
Delhi East Mayur vihar Kondli DJB WTP,2023-12-31,283.1111755371094
Delhi East Mayur vihar Kondli DJB WTP,2024-01-31,281.3659362792969
Delhi East Mayur vihar Kondli DJB WTP,2024-02-29,281.5501403808594
Delhi East Mayur vihar Kondli DJB WTP,2024-03-31,283.95855712890625
Delhi East Mayur vihar Kondli DJB WTP,2024-04-30,281.26947021484375
Delhi East Mayur vihar Kondli DJB WTP,2024-05-31,284.9658508300781
Delhi East Mayur vihar Kondli DJB WTP,2024-06-30,290.5028381347656
Delhi East Mayur vihar Kondli DJB WTP,2024-07-31,299.4122009277344
Delhi East Mayur vihar Kondli DJB WTP,2024-08-31,298.4031066894531
Delhi East Mayur vihar Kondli DJB WTP,2024-09-30,297.351806640625
Delhi East Mayur vihar Kondli DJB WTP,2024-10-31,292.4259033203125
Delhi East Mayur vihar Kondli DJB WTP,2024-11-30,287.9278259277344
Delhi East Mayur vihar Kondli DJB WTP,2024-12-31,281.08514404296875
Delhi East Mayur vihar Kondli DJB WTP,2025-01-31,282.55682373046875
Delhi East Mayur vihar Kondli DJB WTP,2025-02-28,282.8874206542969
Delhi East Mayur vihar Kondli DJB WTP,2025-03-31,282.6979064941406
Delhi East Mayur vihar Kondli DJB WTP,2025-04-30,283.5292053222656
Delhi East Mayur vihar Kondli DJB WTP,2025-05-31,292.1114501953125
Delhi East Mayur vihar Kondli DJB WTP,2025-06-30,295.9561767578125
Delhi East Mayur vihar Kondli DJB WTP,2025-07-31,298.478515625
Delhi East Mayur vihar Kondli DJB WTP,2025-08-31,298.18365478515625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-12-31,281.67755126953125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-01-31,281.25213623046875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-02-28,282.97259521484375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-03-31,286.8171081542969
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-04-30,283.5895080566406
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-05-31,288.1329345703125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-06-30,293.8041687011719
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-07-31,298.79290771484375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-08-31,297.1780700683594
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-09-30,296.4861145019531
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-10-31,288.826416015625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-11-30,286.93731689453125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-12-31,283.1111755371094
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-01-31,281.3659362792969
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-02-29,281.5501403808594
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-03-31,283.95855712890625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-04-30,281.26947021484375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-05-31,284.9658508300781
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-06-30,290.5028381347656
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-07-31,299.4122009277344
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-08-31,298.4031066894531
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-09-30,297.351806640625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-10-31,292.4259033203125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-11-30,287.9278259277344
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-12-31,281.08514404296875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-01-31,282.55682373046875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-02-28,282.8874206542969
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-03-31,282.6979064941406
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-04-30,283.5292053222656
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-05-31,292.1114501953125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-06-30,295.9561767578125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-07-31,298.478515625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-08-31,298.18365478515625
Delhi North ALIPUR Singhu Village Pz,2022-12-31,281.83154296875
Delhi North ALIPUR Singhu Village Pz,2023-01-31,281.4351806640625
Delhi North ALIPUR Singhu Village Pz,2023-02-28,283.4746398925781
Delhi North ALIPUR Singhu Village Pz,2023-03-31,287.2309875488281
Delhi North ALIPUR Singhu Village Pz,2023-04-30,283.9919738769531
Delhi North ALIPUR Singhu Village Pz,2023-05-31,288.34149169921875
Delhi North ALIPUR Singhu Village Pz,2023-06-30,294.0185852050781
Delhi North ALIPUR Singhu Village Pz,2023-07-31,298.78314208984375
Delhi North ALIPUR Singhu Village Pz,2023-08-31,297.26336669921875
Delhi North ALIPUR Singhu Village Pz,2023-09-30,296.3902893066406
Delhi North ALIPUR Singhu Village Pz,2023-10-31,288.9017028808594
Delhi North ALIPUR Singhu Village Pz,2023-11-30,286.9930114746094
Delhi North ALIPUR Singhu Village Pz,2023-12-31,283.246337890625
Delhi North ALIPUR Singhu Village Pz,2024-01-31,281.4289245605469
Delhi North ALIPUR Singhu Village Pz,2024-02-29,281.6065368652344
Delhi North ALIPUR Singhu Village Pz,2024-03-31,284.10626220703125
Delhi North ALIPUR Singhu Village Pz,2024-04-30,281.85235595703125
Delhi North ALIPUR Singhu Village Pz,2024-05-31,285.62384033203125
Delhi North ALIPUR Singhu Village Pz,2024-06-30,290.6607360839844
Delhi North ALIPUR Singhu Village Pz,2024-07-31,299.3904724121094
Delhi North ALIPUR Singhu Village Pz,2024-08-31,298.466552734375
Delhi North ALIPUR Singhu Village Pz,2024-09-30,297.4681091308594
Delhi North ALIPUR Singhu Village Pz,2024-10-31,292.4269714355469
Delhi North ALIPUR Singhu Village Pz,2024-11-30,288.0007019042969
Delhi North ALIPUR Singhu Village Pz,2024-12-31,281.0772399902344
Delhi North ALIPUR Singhu Village Pz,2025-01-31,282.6041259765625
Delhi North ALIPUR Singhu Village Pz,2025-02-28,283.132568359375
Delhi North ALIPUR Singhu Village Pz,2025-03-31,283.3708801269531
Delhi North ALIPUR Singhu Village Pz,2025-04-30,284.27069091796875
Delhi North ALIPUR Singhu Village Pz,2025-05-31,292.4074401855469
Delhi North ALIPUR Singhu Village Pz,2025-06-30,296.00341796875
Delhi North ALIPUR Singhu Village Pz,2025-07-31,298.6069641113281
Delhi North ALIPUR Singhu Village Pz,2025-08-31,298.2413635253906
Delhi North ALIPUR Alipur Garhi Pz,2022-12-31,281.8157653808594
Delhi North ALIPUR Alipur Garhi Pz,2023-01-31,281.35137939453125
