stationName,Month,Monthly_Mean_Pressure
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-07-31,97509.1328125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-08-31,97479.6640625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-09-30,97864.4921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-10-31,98336.6875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-11-30,99078.046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-12-31,99087.34375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-01-31,99004.6484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-02-28,98910.015625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-03-31,98536.78125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-04-30,98310.2421875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-05-31,97922.21875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-06-30,97536.203125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-07-31,97427.5703125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-08-31,97677.1796875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-09-30,97999.4765625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-10-31,98410.3046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-11-30,98847.5546875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-12-31,99254.0234375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-01-31,99044.9921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-02-28,98781.609375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-03-31,98447.78125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-04-30,98022.3671875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-05-31,97587.3515625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-06-30,97453.953125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-07-31,97603.109375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-08-31,97675.8046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-09-30,97959.2421875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-10-31,98592.2890625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-11-30,98905.046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,98995.9765625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,99202.734375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,98861.9140625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-03-31,98723.6796875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-04-30,98352.578125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-05-31,98070.734375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-06-30,97609.375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-07-31,97590.4921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-08-31,97637.4921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-09-30,97933.609375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-10-31,98622.9765625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-11-30,99030.5546875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-12-31,99182.6875
Delhi East PREET VIHAR Bank Enclave Pz,2020-01-31,99135.8046875
Delhi East PREET VIHAR Bank Enclave Pz,2020-02-29,99098.2421875
Delhi East PREET VIHAR Bank Enclave Pz,2020-03-31,98734.453125
Delhi East PREET VIHAR Bank Enclave Pz,2020-04-30,98419.953125
Delhi East PREET VIHAR Bank Enclave Pz,2020-05-31,97938.0234375
Delhi East PREET VIHAR Bank Enclave Pz,2020-06-30,97554.15625
Delhi East PREET VIHAR Bank Enclave Pz,2020-07-31,97509.1328125
Delhi East PREET VIHAR Bank Enclave Pz,2020-08-31,97479.6640625
Delhi East PREET VIHAR Bank Enclave Pz,2020-09-30,97864.4921875
Delhi East PREET VIHAR Bank Enclave Pz,2020-10-31,98336.6875
Delhi East PREET VIHAR Bank Enclave Pz,2020-11-30,99078.046875
Delhi East PREET VIHAR Bank Enclave Pz,2020-12-31,99087.34375
Delhi East PREET VIHAR Bank Enclave Pz,2021-01-31,99004.6484375
Delhi East PREET VIHAR Bank Enclave Pz,2021-02-28,98910.015625
Delhi East PREET VIHAR Bank Enclave Pz,2021-03-31,98536.78125
Delhi East PREET VIHAR Bank Enclave Pz,2021-04-30,98310.2421875
Delhi East PREET VIHAR Bank Enclave Pz,2021-05-31,97922.21875
Delhi East PREET VIHAR Bank Enclave Pz,2021-06-30,97536.203125
Delhi East PREET VIHAR Bank Enclave Pz,2021-07-31,97427.5703125
Delhi East PREET VIHAR Bank Enclave Pz,2021-08-31,97677.1796875
Delhi East PREET VIHAR Bank Enclave Pz,2021-09-30,97999.4765625
